n,t,i,p,u,v,w
136,0.02,54,0.11661885403081522,0.00021861829197643138,0.00021865314219832695,0.00022022336368172395
137,0.02,55,0.11633622569467013,0.00021821107118871722,0.00021794100991028703,0.0002196763638844704
138,0.02,56,0.11615377999470897,0.0002184075630051267,0.0002179608025506546,0.00021980513510678226
139,0.02,57,0.11604308818412513,0.00021759013978798908,0.00021709512624945956,0.00021897964203725475
140,0.02,58,0.11583404615402021,0.00021644855160660674,0.00021585162691420415,0.00021778903365301963
141,0.02,59,0.1155342440090603,0.00021646068259676971,0.00021565754843668448,0.0002177133495372548
142,0.02,60,0.11535473321185215,0.00021722612542321768,0.00021610157395209113,0.00021835250898254405
143,0.02,61,0.11524875702421707,0.00021695012760431808,0.00021557707943243475,0.00021797920873627868
144,0.02,62,0.11506446481386466,0.00021601787823550704,0.00021469783287233663,0.00021697533474386062
145,0.02,63,0.11476612997756641,0.00021625804590384492,0.00021495011271360813,0.00021707890415048674
146,0.02,64,0.11455819269909609,0.00021732762188067146,0.00021601409294037718,0.00021806673080351747
147,0.02,65,0.11444278854443508,0.0002172525022981281,0.0002160002475917146,0.0002179892577991709
148,0.02,66,0.11425907102742447,0.0002162716354192806,0.00021514215531738873,0.00021690130870515945
149,0.02,67,0.11398016630600019,0.00021616678610637984,0.00021518236025042323,0.0002167007319814647
150,0.02,68,0.11378161768925683,0.00021689106328232538,0.00021595174932746117,0.0002173131342195003
151,0.02,69,0.11364635570172299,0.00021682071322312978,0.00021593966710096828,0.00021716848232183124
152,0.02,70,0.1134768882007409,0.00021593921766104002,0.00021525819345827774,0.00021633118155398484
153,0.02,71,0.11321794579542108,0.00021539222613165798,0.00021484283279393158,0.00021578716006027628
154,0.02,72,0.11299303384779424,0.00021578836158100978,0.0002152417476140865,0.00021611532287972758
155,0.02,73,0.112863132064731,0.0002158817044099764,0.00021529953835057455,0.00021618691215251156
156,0.02,74,0.11271419726133876,0.00021507974166455049,0.00021440091635995686,0.00021538111481712592
157,0.02,75,0.11246124039553071,0.0002145680915528377,0.0002136480798072811,0.0002149615826999157
158,0.02,76,0.11222634883651218,0.00021477790568916687,0.0002137005237370719,0.00021534239009626046
159,0.02,77,0.11210566035544851,0.00021438949251665552,0.00021336857184332003,0.000215130200300045
160,0.02,78,0.11197385562098763,0.00021306950172225698,0.00021229158511347398,0.0002137973981730749
161,0.02,79,0.1117359627199687,0.00021228230630974485,0.00021168085177491647,0.00021271473995289336
162,0.02,80,0.11148558720789487,0.00021263284624072846,0.00021210815367095427,0.00021280334170136064
163,0.02,81,0.1113487870673591,0.00021273530826622884,0.00021240399914246568,0.0002128285211825591
164,0.02,82,0.1112227019402847,0.00021166126490231756,0.0002115194524273116,0.00021170105220628455
165,0.02,83,0.11100602168643968,0.00021071635637882985,0.0002106049587255584,0.00021063704757872802
166,0.02,84,0.11075746094825598,0.00021070433442875342,0.00021066152726829644,0.00021051150241822525
167,0.02,85,0.11059820290887863,0.00021087262658712238,0.00021087500713555657,0.0002104982521440253
168,0.02,86,0.1104811581467293,0.00021008562943670346,0.0002099018903598921,0.00020955722668829617
169,0.02,87,0.11028349189368268,0.0002088638184204837,0.00020853092691111387,0.00020827492702859212
170,0.02,88,0.11003320184611075,0.0002083859146515693,0.00020800271796777675,0.00020780255392571052
171,0.02,89,0.10984835347667748,0.0002083969205336839,0.00020801518194203976,0.00020776380485921885
172,0.02,90,0.10973475271222287,0.0002077414810426413,0.00020743345643584138,0.00020704597753103964
173,0.02,91,0.10955397690007615,0.00020679421287953597,0.00020641481519380924,0.00020601879925649273
174,0.02,92,0.10931332228956762,0.00020665290107619254,0.00020629921925702078,0.00020595933353314107
175,0.02,93,0.10911472654882179,0.0002069118131566122,0.0002066958269485034,0.0002063691506938432
176,0.02,94,0.1089637908990014,0.00020668415379843078,0.00020651176848561476,0.0002062727192783904
177,0.02,95,0.10879361231091136,0.00020603721798135178,0.0002058446122020517,0.00020567918798132957
178,0.02,96,0.10859419642804888,0.00020566342139053732,0.00020550064924977675,0.00020529630705068048
179,0.02,97,0.10840814979212159,0.000205734927875602,0.00020557673355583962,0.0002053478033364931
180,0.02,98,0.10825362246362975,0.00020579230411262836,0.00020555729240652067,0.00020530313173920832
181,0.02,99,0.10808268660558187,0.0002056501483981822,0.00020535733303138508,0.00020503613646950483
182,0.02,100,0.10788328744189526,0.00020551669967605344,0.0002054650936703249,0.00020503208816170123
183,0.03,1,0.11836991052256311,0.003055862370345034,0.0030769992343364846,0.003698681831497744
184,0.03,2,0.12012462259133626,0.0011395780409721795,0.0011446094181862094,0.0013369345494111846
185,0.03,3,0.11881269089485884,0.0006190207812738482,0.0006211392369570369,0.0006811140369253966
186,0.03,4,0.11716859121619927,0.0005323989940736717,0.0005356374292674031,0.0005001473734428702
187,0.03,5,0.11542629337325057,0.0005191143204186657,0.0005228091467222379,0.00044774645954075615
188,0.03,6,0.11364785556863222,0.0005045429085355517,0.0005080598612340959,0.0004205195790334904
189,0.03,7,0.11188620767768814,0.0004847662013626483,0.00048781195213718013,0.0003981372158906964
190,0.03,8,0.1101763243227295,0.00046280122046485816,0.00046534744058724655,0.00037742999493511225
191,0.03,9,0.10855396652736866,0.00044051168608718103,0.000442632206246967,0.0003581267974235948
192,0.03,10,0.10703216797914313,0.00041889339624512427,0.0004206441124665362,0.00034030944280144114
193,0.03,11,0.10561935715526569,0.00039836668360355184,0.00039978346636227407,0.0003240057735372926
194,0.03,12,0.10430916420751367,0.0003791924569511338,0.00038032708115154167,0.0003092655013440861
195,0.03,13,0.10310133026104924,0.0003615455471617998,0.00036251009544320236,0.00029616804101696747
