t,dt,cost,slope
4.27070,0.00121,867.86087,12.42481
4.27190,0.00120,878.69619,11.40106
4.27308,0.00119,885.80394,10.25469
4.27426,0.00118,895.06116,9.74964
4.27542,0.00116,903.10270,9.17937
4.27658,0.00115,913.28436,8.56290
4.27772,0.00114,924.45300,7.91830
4.27885,0.00113,931.98459,7.97894
4.27996,0.00112,941.50643,8.04324
4.28107,0.00111,950.64950,8.10801
4.28217,0.00110,961.89217,8.19115
4.28325,0.00108,970.45648,8.26821
4.28433,0.00107,979.74103,8.33719
4.28539,0.00106,989.16869,8.40260
4.28644,0.00105,1000.70335,8.48681
4.28748,0.00104,1009.56240,8.56927
4.28852,0.00103,1019.15453,8.64267
4.28954,0.00102,1030.48966,8.72171
4.29055,0.00101,1044.80256,8.82258
4.29155,0.00100,1050.88892,8.89798
4.29254,0.00099,1061.97279,8.97609
4.29352,0.00098,1073.21054,9.20889
4.29449,0.00097,1087.04248,9.46014
4.29545,0.00096,1093.61172,9.55371
4.29641,0.00095,1105.47779,9.64285
4.29735,0.00094,1117.24381,9.74124
4.29828,0.00093,1129.99733,9.84636
4.29921,0.00092,1141.47408,9.97336
4.30012,0.00091,1151.00534,10.06328
4.30103,0.00091,1162.60462,10.15708
4.30192,0.00090,1175.59733,10.25724
4.30281,0.00089,1188.33075,10.37735
4.30369,0.00088,1199.86307,10.48311
4.30456,0.00087,1211.31961,10.58689
4.30542,0.00086,1223.20475,10.68209
4.30627,0.00085,1239.20259,10.80830
4.30712,0.00084,1247.84909,10.92230
4.30795,0.00084,1260.87924,11.02842
4.30878,0.00083,1273.78049,11.13710
4.30960,0.00082,1289.81212,11.26443
4.31041,0.00081,1299.15815,11.37868
4.31121,0.00080,1314.63976,11.50182
4.31200,0.00079,1987.77155,15.87863
4.31279,0.00079,2047.39126,20.25659
4.31357,0.00078,2061.37489,24.33348
4.31434,0.00077,2077.81756,28.10560
4.31510,0.00076,2097.91999,31.59827
4.31586,0.00076,2106.16071,34.74229
4.31661,0.00075,2119.37061,37.59164
4.31735,0.00074,2160.84090,40.27239
4.31808,0.00073,2126.85847,42.31649
4.31881,0.00073,2866.06483,48.73335
4.31952,0.00072,2407.96697,51.49242
4.32024,0.00071,2915.72118,56.98490
4.32094,0.00070,2939.90898,61.90454
4.32164,0.00070,2963.71104,66.24267
4.32233,0.00069,3240.74082,71.63449
4.32301,0.00068,3267.81765,76.34099
4.32369,0.00068,3044.81881,78.72843
4.32436,0.00067,52963.91377,402.41191
4.32502,0.00066,28315.60461,544.11523
4.32568,0.00066,3391.65001,513.03102
4.32633,0.00065,28601.90386,643.69280
4.32697,0.00064,54788.02721,931.18409
4.32761,0.00064,3764.91990,865.73766
4.32824,0.00063,29741.21329,966.85963
4.32886,0.00062,56523.27736,1228.14709
4.32948,0.00062,57049.26483,1468.32370
4.33009,0.00061,57715.50923,1688.06522
4.33070,0.00061,58481.99025,1887.74922
4.33130,0.00060,59186.03438,2066.59288
4.33189,0.00059,59988.29070,2224.96304
4.33248,0.00059,60674.67923,2366.29761
4.33306,0.00058,90626.85081,2675.17109
4.33364,0.00058,91238.16778,2948.67254
4.33421,0.00057,92232.36127,3189.02333
4.33477,0.00056,93218.24445,3395.76004
4.33533,0.00056,94349.51851,3569.30915
4.33588,0.00055,95237.68730,3707.63683
4.33643,0.00055,96247.65646,3811.33449
4.33697,0.00054,97298.15166,3879.71230
4.33751,0.00054,98348.07493,3917.61638
4.33804,0.00053,99435.33012,3916.89207
4.33857,0.00053,100452.73679,3883.06218
4.33909,0.00052,101369.53283,3811.91591
4.33960,0.00052,102436.55195,3704.02262
4.34011,0.00051,103532.34373,3560.85019
4.34062,0.00051,104694.66311,3380.73969
4.34112,0.00050,105621.57532,3159.94261
4.34162,0.00050,106753.57521,3245.07800
4.34211,0.00049,107709.00372,3142.45599
4.34259,0.00049,108847.43601,2839.96416
4.34307,0.00048,110086.67189,2672.40985
4.34355,0.00048,111237.11006,2656.61593
4.34402,0.00047,112274.40175,2270.51434
4.34449,0.00047,113619.57101,2023.95802
4.34495,0.00046,114510.45271,1930.53248
4.34540,0.00046,115703.01261,1822.62763
4.34586,0.00045,116824.94806,1700.45853
4.34631,0.00045,118050.05210,1565.17933
4.34675,0.00044,119397.08944,1416.94201
4.34719,0.00044,120337.87060,1253.51683
4.34762,0.00043,121434.62409,1075.04931
4.34805,0.00043,122963.62530,1085.97856
4.34848,0.00043,124250.21031,1095.03645
4.34890,0.00042,125532.00551,1104.53215
4.34932,0.00042,126703.92580,1113.57152
