n,t,i,p,u,v,w
85,0.02,54,0.10475571781189646,6.949571915349775e-05,6.949675561147096e-05,6.921554761634902e-05
86,0.02,55,0.10470093724362792,6.95000545556897e-05,6.947286417508501e-05,6.91636944862635e-05
87,0.02,56,0.10461509452868346,6.908647552538522e-05,6.897541158963852e-05,6.866459266910614e-05
88,0.02,57,0.10437505636188722,6.90881784496972e-05,6.897164244430205e-05,6.861466663002298e-05
89,0.02,58,0.10422152006119242,6.93603938993835e-05,6.923684440337677e-05,6.884768780370093e-05
90,0.02,59,0.10420183276809478,6.906283458866712e-05,6.89138467109199e-05,6.851941756737888e-05
91,0.02,60,0.10406320382592497,6.868002634855363e-05,6.857482788378e-05,6.813936948344718e-05
92,0.02,61,0.10383482418639174,6.889251834594192e-05,6.877960451712127e-05,6.834254080213912e-05
93,0.02,62,0.10373340870231562,6.903730321822158e-05,6.889141143095418e-05,6.843763018648307e-05
94,0.02,63,0.10371767451423035,6.859009211074096e-05,6.84629197622655e-05,6.797247476352856e-05
95,0.02,64,0.10356043211676792,6.817142541759481e-05,6.80059410976743e-05,6.743195460098349e-05
96,0.02,65,0.10334801298344591,6.825925981117466e-05,6.808793219877542e-05,6.747427647664892e-05
97,0.02,66,0.10326397797045636,6.823707328148466e-05,6.807610838288057e-05,6.746291367814084e-05
98,0.02,67,0.10323764866715995,6.781774527105867e-05,6.758289342538821e-05,6.703471260728684e-05
99,0.02,68,0.10307921220501429,6.740430541806716e-05,6.718584877027772e-05,6.662245001163809e-05
100,0.02,69,0.10289178752911106,6.746452881989018e-05,6.729169054115563e-05,6.67207935965279e-05
101,0.02,70,0.10281589603891832,6.747886621670184e-05,6.731240477518281e-05,6.671168977801496e-05
102,0.02,71,0.10279265369651618,6.707531417902583e-05,6.688216845284129e-05,6.62845802076105e-05
103,0.02,72,0.10265119687591759,6.677469817648647e-05,6.65582518889348e-05,6.594341456503805e-05
104,0.02,73,0.10248177410162801,6.700015820275732e-05,6.672261590040498e-05,6.606103648778992e-05
105,0.02,74,0.10239490394562326,6.710310934907274e-05,6.680035495094091e-05,6.618806557293586e-05
106,0.02,75,0.10236012879284853,6.684490024792346e-05,6.657553279336709e-05,6.598727384798708e-05
107,0.02,76,0.10224135052812913,6.651736165690295e-05,6.634310758989145e-05,6.572756518864236e-05
108,0.02,77,0.10207382617577923,6.662626705136668e-05,6.650966289096385e-05,6.587393182100099e-05
109,0.02,78,0.10197981611651309,6.68141850464901e-05,6.672306111241337e-05,6.606523043099079e-05
110,0.02,79,0.1019473167179003,6.665361522218884e-05,6.657052536499026e-05,6.593541326188446e-05
111,0.02,80,0.10183327569334362,6.642478073939181e-05,6.635550925024207e-05,6.570157681264862e-05
112,0.02,81,0.10166050646902682,6.663631456787793e-05,6.654653616271256e-05,6.583009171083733e-05
113,0.02,82,0.10155127862130801,6.691430629313405e-05,6.681755831602036e-05,6.609090136435774e-05
114,0.02,83,0.1015056981717043,6.692222588901108e-05,6.684255566808569e-05,6.612610333777757e-05
115,0.02,84,0.10138737569050235,6.683788337081272e-05,6.678903363951994e-05,6.612791461651365e-05
116,0.02,85,0.10122332777702082,6.707362217525907e-05,6.70439929681851e-05,6.639189555381444e-05
117,0.02,86,0.101113202589876,6.745504782921068e-05,6.747757259703647e-05,6.679127110492336e-05
118,0.02,87,0.101064845588315,6.759344985026667e-05,6.764328500922801e-05,6.696944246885358e-05
119,0.02,88,0.1009675130074684,6.764305063554092e-05,6.769711539591479e-05,6.704662696818575e-05
120,0.02,89,0.10081798665873237,6.799197111733582e-05,6.807348382489264e-05,6.736281561004701e-05
121,0.02,90,0.10070438363364459,6.840153103702682e-05,6.84860449624565e-05,6.776653909770459e-05
122,0.02,91,0.10064313647170522,6.864371308268172e-05,6.876266315703443e-05,6.800668239571598e-05
123,0.02,92,0.10056201792865212,6.871524861166035e-05,6.880186907011716e-05,6.808970459424346e-05
124,0.02,93,0.10041193736241723,6.895807021998645e-05,6.896962775444331e-05,6.826589226064117e-05
125,0.02,94,0.1002875224886069,6.933529005290505e-05,6.930755641732483e-05,6.858206198956798e-05
126,0.02,95,0.10022826739872763,6.950138396244377e-05,6.94591925724125e-05,6.871817857646061e-05
127,0.02,96,0.1001616663524044,6.939824244320595e-05,6.931712370333553e-05,6.858030738283629e-05
128,0.02,97,0.10001011508966415,6.940843737263836e-05,6.928879386346717e-05,6.85657894548807e-05
129,0.02,98,0.09985892231816952,6.962806511658825e-05,6.951114606427693e-05,6.878032660877615e-05
130,0.02,1,0.09703290319715985,0.0009527923671089956,0.00094791987206762,0.00041415788761637034
131,0.02,1,0.10485978936941777,0.0017802555460879133,0.0017799608975260668,0.002459482698060555
132,0.02,2,0.10388659003994641,0.00033918424749171893,0.0003388390193139123,0.0005140528898742415
133,0.02,3,0.10281793215118455,0.00017200173697698426,0.00017163809332701398,0.00019520130519267388
134,0.02,4,0.10197910823310626,0.00015425610817577562,0.00015437208373535394,0.00014297556612713537
135,0.02,5,0.10116885901681338,0.00015059078534533865,0.00015091907844902496,0.00013398290107618686
136,0.02,6,0.10037076103351325,0.00014696117615926093,0.0001473876394533632,0.00012955466602283035
137,0.02,7,0.09958357971138498,0.00014325784817454645,0.00014374876131666397,0.00012589480425154566
138,0.02,1,0.09927663353270508,8.04599276652836e-07,8.056364227259834e-07,7.73887283282147e-07
139,0.03,1,0.09922861349440062,6.71571099641242e-07,6.722808530279265e-07,6.549537244308747e-07
140,0.03,1,0.09948958218803756,0.00108288953715276,0.0010821485914295611,0.0019037278276868921
141,0.03,1,0.1001137336219965,0.0007442273171026561,0.0007432949603403523,0.0016951030054944353
142,0.03,2,0.09853009142389885,0.00021386727519293432,0.0002138212943344096,0.00044384471417838504
143,0.03,1,0.09765934922743455,0.00028519421599501274,0.0002861402987890009,0.0005978296039231899
144,0.03,1,0.095689441268111,0.0005357332549834088,0.0005368045382376461,0.0012377994315829902
145,0.03,1,0.09426969333315428,4.1686534409169576e-07,4.212815943258947e-07,5.10348805445709e-07
146,0.04,1,0.09404537959172472,2.6064971016539917e-07,2.6361894632292953e-07,2.8309929075798904e-07
147,0.04,1,0.09497848150591472,0.0006627924198313915,0.0006627225057853765,0.0019801492682251097
148,0.04,1,0.09528184329861271,0.0006252953791415608,0.000626218924369567,0.001922020456399976
149,0.04,1,0.09263789178885637,0.000162467899111462,0.00016261106791751764,0.0004115827237902779
150,0.04,1,0.09344417055121251,0.0005319212094095883,0.0005364778485746495,0.0013023592600177256
151,0.04,1,0.09219821838131717,2.942708329874741e-07,2.952863601616761e-07,8.980500674273021e-07
152,0.05,1,0.09185369494853306,1.640648805259292e-07,1.6484937495203573e-07,4.1754386597587556e-07
153,0.05,1,0.09597565350689273,0.0006787119118731249,0.0006817896202437446,0.002018250006192612
154,0.05,2,0.0941750608489643,0.0002112959061735414,0.00021231934882150666,0.0006212914948459143
155,0.05,1,0.09736024102258715,0.000521072682085816,0.0005241415511637979,0.0015233652371586172
156,0.05,1,0.09443497776940346,0.0001624916025469224,0.0001633380141820029,0.0003978629993182096
157,0.05,1,0.09782941302405973,0.000498605216348582,0.0005032181294071061,0.0012678084908718582
158,0.05,1,0.09692321006329588,2.500237267791836e-07,2.5042913448305604e-07,7.198650145962052e-07
159,0.060000000000000005,1,0.0967146877651253,1.3439165811683203e-07,1.3468631965996695e-07,3.1321067289547274e-07
160,0.060000000000000005,1,0.10289924636623271,0.0006456243245276608,0.0006498056246128695,0.001952500576284794
161,0.060000000000000005,2,0.1013418477118771,0.00021786584523098625,0.00021915539982684404,0.0006927985800615793
162,0.060000000000000005,3,0.10088883710527181,0.00011201237706015386,0.00011250233277421307,0.00030960671175296443
163,0.060000000000000005,4,0.10052559501241734,8.933988716020838e-05,8.964626680893674e-05,0.0001646228845570096
164,0.060000000000000005,5,0.10018253191832457,8.58587281797099e-05,8.61458537221917e-05,0.00011298110960750801
165,0.060000000000000005,6,0.09985805756090255,8.552222956956747e-05,8.577038490768622e-05,9.88722872166914e-05
166,0.060000000000000005,1,0.10328810396811315,0.00036069436945638324,0.0003623314019864088,0.0011405906676405743
167,0.060000000000000005,2,0.10220689351644728,0.00012833215788408682,0.00012871330564019783,0.0003955438936093018
168,0.060000000000000005,3,0.10193278876891787,9.002516473882178e-05,9.022420720137321e-05,0.00018401551519306268
169,0.060000000000000005,4,0.10167963855684337,8.630746744775555e-05,8.647261958408092e-05,0.00011663714680998066
