n,t,i,p,u,v,w
74,0.02,43,0.10650673229929503,7.169009159267051e-05,7.167958650196889e-05,7.193773575415764e-05
75,0.02,44,0.10638813150252505,7.082110488688105e-05,7.063296360767108e-05,7.077822865287659e-05
76,0.02,45,0.10608393673444293,7.081355085492195e-05,7.055448301437508e-05,7.051096337263484e-05
77,0.02,46,0.10600599108360777,7.063253304210584e-05,7.033511241432421e-05,7.031320905992898e-05
78,0.02,47,0.10595314163984654,6.97291406470441e-05,6.952798730740089e-05,6.942973719987958e-05
79,0.02,48,0.10565644619553566,6.971943320036145e-05,6.956960242126456e-05,6.936708478960116e-05
80,0.02,49,0.10549938136651595,7.007881857880163e-05,6.995123433969342e-05,6.969937609757927e-05
81,0.02,50,0.10549297686317873,6.961558605410278e-05,6.942140586471369e-05,6.909792586335177e-05
82,0.02,51,0.10527817101237406,6.940968978485655e-05,6.92451835190613e-05,6.890902172750035e-05
83,0.02,52,0.10502104522062507,6.99289174202022e-05,6.971515344458753e-05,6.945409815497441e-05
84,0.02,53,0.10501199489166876,6.988857140394413e-05,6.970844837508107e-05,6.945610866177101e-05
85,0.02,54,0.10490876410403045,6.940193297961042e-05,6.920346720032511e-05,6.89492883933781e-05
86,0.02,55,0.1046302815850588,6.94835283250295e-05,6.927749852907885e-05,6.905224824538299e-05
87,0.02,56,0.10450700112291292,6.972530651298867e-05,6.953683841281128e-05,6.931417088036081e-05
88,0.02,57,0.10448841080089616,6.925380930272779e-05,6.910426671452046e-05,6.880514842802764e-05
89,0.02,58,0.10431220591348135,6.890898073492838e-05,6.880501390150258e-05,6.845318601485866e-05
90,0.02,59,0.10406279328791807,6.914358802943897e-05,6.909884705051353e-05,6.871383259256736e-05
91,0.02,60,0.10400430100941542,6.919264858923851e-05,6.917817781430089e-05,6.881136879029542e-05
92,0.02,61,0.10396813893295176,6.865173585435552e-05,6.852430349214863e-05,6.821946614495263e-05
93,0.02,62,0.10377776264223858,6.836963557730325e-05,6.818213366208169e-05,6.788728341972372e-05
94,0.02,63,0.10357872825427403,6.852869521753338e-05,6.8370705425833e-05,6.801937018204729e-05
95,0.02,64,0.10354004440723649,6.840784015080882e-05,6.828776030863408e-05,6.78820313187645e-05
96,0.02,65,0.10347046985659024,6.784723009070666e-05,6.77994781393642e-05,6.732112659008262e-05
97,0.02,66,0.10326778467343493,6.764667974605866e-05,6.769488566825065e-05,6.714495519118978e-05
98,0.02,67,0.10311178015506323,6.782623670246404e-05,6.78727455920145e-05,6.728320434318799e-05
99,0.02,68,0.10308344110858399,6.760588153397372e-05,6.767412013836337e-05,6.7025368194338e-05
100,0.02,69,0.10301140927146944,6.706975162002096e-05,6.716030444603932e-05,6.647752747098262e-05
101,0.02,70,0.10281559282630573,6.692283550147183e-05,6.703599387386794e-05,6.632359766891782e-05
102,0.02,71,0.10268226021603429,6.704959718643286e-05,6.722079874890038e-05,6.647058691866958e-05
103,0.02,72,0.1026541891807285,6.683516113955491e-05,6.7056012633996e-05,6.626867416179611e-05
104,0.02,73,0.10257071397738446,6.64034195539945e-05,6.663858457469274e-05,6.585381372713333e-05
105,0.02,74,0.10237644977494342,6.642466729645826e-05,6.664583576378433e-05,6.586094495964615e-05
106,0.02,75,0.10223682721728809,6.672560578952692e-05,6.690580033743074e-05,6.611221911108283e-05
107,0.02,76,0.10220730672142539,6.668005909704836e-05,6.672960571829887e-05,6.598865691139065e-05
108,0.02,77,0.10213501316317672,6.635483855555938e-05,6.63339437420081e-05,6.564082543219708e-05
109,0.02,78,0.10195758380209193,6.635467617926636e-05,6.635326479584228e-05,6.563448276525467e-05
110,0.02,79,0.10181395997987794,6.667092827840477e-05,6.670095983525688e-05,6.594766335943688e-05
111,0.02,80,0.10178027821383447,6.674842747866947e-05,6.679730323463967e-05,6.603989361003673e-05
112,0.02,81,0.10171199735861801,6.659057430781308e-05,6.667767115433896e-05,6.591816280815315e-05
113,0.02,82,0.10154467036536335,6.673413851963215e-05,6.688870309967274e-05,6.609650370705253e-05
114,0.02,83,0.10142201335315369,6.71123566690605e-05,6.732178842402413e-05,6.651982564607562e-05
115,0.02,84,0.10137751045424596,6.724957161753388e-05,6.743153901126834e-05,6.665337422577003e-05
116,0.02,85,0.10129938782321905,6.719779427672348e-05,6.733451405108031e-05,6.653493912868611e-05
117,0.02,86,0.10115050591844574,6.742545593810728e-05,6.754386802072585e-05,6.669554388136914e-05
118,0.02,87,0.10103548873149835,6.785931474699313e-05,6.799833126978445e-05,6.705809106319631e-05
119,0.02,88,0.10098550868658421,6.80736809103902e-05,6.818166862972864e-05,6.718686628507134e-05
120,0.02,89,0.10090197556308261,6.800367236180208e-05,6.814236896753728e-05,6.716884011021835e-05
121,0.02,90,0.10075518287820345,6.811591714699733e-05,6.829746692219412e-05,6.732887592576125e-05
122,0.02,91,0.10061535057786487,6.834213958070248e-05,6.863178133234882e-05,6.762323999584397e-05
123,0.02,92,0.10053574142544705,6.846042680479377e-05,6.878277584274326e-05,6.77820985443424e-05
124,0.02,93,0.10045701815440429,6.841085242714384e-05,6.870633243102497e-05,6.765603903460198e-05
125,0.02,94,0.10032519341735101,6.852479952187826e-05,6.87597472608211e-05,6.771430539995678e-05
126,0.02,95,0.10019805412028353,6.882371068137264e-05,6.904597794117173e-05,6.797466249656486e-05
127,0.02,96,0.1001200877969579,6.899396192870388e-05,6.916229169896715e-05,6.817357682652147e-05
128,0.02,97,0.10004054416448852,6.906382080556609e-05,6.918357026724181e-05,6.820888158867728e-05
129,0.02,98,0.099904852264626,6.915782381673665e-05,6.92566629536189e-05,6.833582988060277e-05
130,0.02,1,0.09705741090173418,0.000952328333521448,0.0009510863833884247,0.0004140151698389607
131,0.02,1,0.10491894870759366,0.0017778221434292907,0.001779461360562776,0.0024625749172021306
132,0.02,2,0.10393432310670199,0.00033916020528637945,0.0003393761637472,0.0005126428356227588
133,0.02,3,0.10286305301242872,0.00017212705362830568,0.0001716540137757978,0.00019472441000803443
134,0.02,4,0.10202140502567489,0.00015459884609061983,0.00015406997347374953,0.0001431411006116695
135,0.02,5,0.10121130853409763,0.00015106595533149564,0.0001506435467979234,0.00013434219671589829
136,0.02,6,0.10041272288492983,0.00014750401908494095,0.0001471519365861972,0.00012998644573058017
137,0.02,7,0.09962599567830498,0.0001438193125516179,0.00014350947427800166,0.00012636431622675709
138,0.02,1,0.09931553405806873,8.04139806757205e-07,8.072283335871217e-07,7.732974010363836e-07
139,0.03,1,0.09926562754907395,6.692531937318556e-07,6.730741522356392e-07,6.545500707599911e-07
140,0.03,1,0.09953495698980307,0.0010728886535786284,0.0010798051543749613,0.0018999046532353163
141,0.03,1,0.10015253582775295,0.0007414134193957222,0.0007424192099006156,0.0016899673075106035
142,0.03,2,0.09856893078799615,0.00021418756414510418,0.00021414758229562373,0.0004413300142286625
143,0.03,1,0.09769664369309326,0.0002848048145591158,0.00028463689698322967,0.0005969085540749678
144,0.03,1,0.09573462086412982,0.0005373283575569236,0.0005376798015863556,0.0012350099336981319
